,SP500,USD_EUR,USD_GBP
2012-06-08,104.41288757324219,1.2482,1.5433
2012-06-11,103.08711242675781,1.2504,1.5515
2012-06-12,104.27166748046875,1.2477,1.5562
2012-06-13,103.6048583984375,1.2596,1.5557
2012-06-14,104.703125,1.2608,1.5533
2012-06-15,105.77395629882812,1.2633,1.5654
2012-06-18,105.97897338867188,1.2578,1.5665
2012-06-19,107.00407409667969,1.2692,1.5732
2012-06-20,106.83060455322266,1.2703,1.575
2012-06-21,104.43345642089844,1.2586,1.5633
2012-06-22,105.23774719238281,1.2545,1.5582
2012-06-25,103.55028533935547,1.248,1.5555
2012-06-26,104.07071685791016,1.2471,1.562
2012-06-27,105.00907897949219,1.2457,1.5549
2012-06-28,104.70943450927734,1.2433,1.5503
2012-06-29,107.31947326660156,1.2668,1.5686
2012-07-02,107.64277648925781,1.2584,1.5679
2012-07-03,108.35244750976562,1.262,1.5702
2012-07-04,,,
2012-07-05,107.86359405517578,1.2384,1.5531
2012-07-06,106.83850860595703,1.2283,1.548
2012-07-09,106.70441436767578,1.2299,1.5507
2012-07-10,105.77395629882812,1.2255,1.5506
2012-07-11,105.78971099853516,1.2244,1.5532
2012-07-12,105.27714538574219,1.2199,1.5425
2012-07-13,107.04348754882812,1.2232,1.555
2012-07-16,106.79115295410156,1.2267,1.5635
2012-07-17,107.5245132446289,1.2234,1.5613
2012-07-18,108.32096099853516,1.2261,1.5636
2012-07-19,108.6048355102539,1.2257,1.5719
2012-07-20,107.61125183105469,1.2176,1.563
2012-07-23,106.52306365966797,1.2126,1.5512
2012-07-24,105.60836029052734,1.2062,1.5521
2012-07-25,105.63201904296875,1.2132,1.5479
2012-07-26,107.37468719482422,1.228,1.5683
2012-07-27,109.35388946533203,1.237,1.5728
2012-07-30,109.35388946533203,1.225,1.5694
2012-07-31,108.5889892578125,1.2315,1.5686
2012-08-01,108.49443054199219,1.2299,1.5596
2012-08-02,107.74527740478516,1.2149,1.55
2012-08-03,109.88220977783203,1.239,1.565
2012-08-06,110.09514617919922,1.2422,1.5625
2012-08-07,110.6470718383789,1.2422,1.5658
2012-08-08,110.78115844726562,1.2364,1.5659
2012-08-09,110.8757553100586,1.2278,1.5623
2012-08-10,111.0571060180664,1.2298,1.5679
2012-08-13,111.00193786621094,1.2339,1.569
2012-08-14,111.01770782470703,1.2329,1.5692
2012-08-15,111.14385223388672,1.2288,1.5686
2012-08-16,111.96395111083984,1.2356,1.5738
2012-08-17,112.11376953125,1.2315,1.5697
2012-08-20,112.12165069580078,1.2343,1.5707
2012-08-21,111.78257751464844,1.2472,1.5788
2012-08-22,111.82991027832031,1.2472,1.58
2012-08-23,110.91516876220703,1.2583,1.5882
2012-08-24,111.58544158935547,1.2533,1.5815
2012-08-27,111.60910034179688,1.2514,1.58
2012-08-28,111.49873352050781,1.2564,1.5828
2012-08-29,111.58544158935547,1.2538,1.5839
2012-08-30,110.78115844726562,1.2497,1.5794
2012-08-31,111.3094711303711,1.2578,1.5864
2012-09-03,,,
2012-09-04,111.20691680908203,1.2566,1.5889
2012-09-05,111.1123275756836,1.2603,1.5907
